ADDRESS,CITY,ZIP CODE,PHONE NUMBER,GEOMETRY,Apartment Complex Name
"1741 BRIGHTSIDE DR, BLDG C",BATON ROUGE,70820,,POINT (-91.177844780291 30.385730118092),THE GATES AT BRIGHTSIDE APARTMENTS
11070 MEAD RD,BATON ROUGE,70816,,POINT (-91.058649708673 30.426488441512),WILLOWBEND LAKES APARTMENTS
4209 FORD ST,BATON ROUGE,70807,,POINT (-91.151063000092 30.519504607269),THE RESERVE AT HOWELL PLACE APARTMENTS
1732 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177968497478 30.388601362067),BRIGHTSIDE MANOR APARTMENTS
1502 HARWICH DR,BATON ROUGE,70820,,POINT (-91.187238473793 30.389803379181),BRIGHTSIDE QUARTERS APARTMENTS
7652 BLES AVE,BATON ROUGE,70810,,POINT (-91.109262546571 30.392123981961),APARTMENTS
638 CAROL MARIE DR,BATON ROUGE,70806,,POINT (-91.154532710419 30.442248640609),THE VILLAS APARTMENTS
7543 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.10663266411 30.419814601329),MAISON BOCAGE APARTMENTS AND TOWNHOMES
"5958 CADILLAC ST, BLDG 1101",BATON ROUGE,70811,,POINT (-91.131820930013 30.517790915469),CADILLAC STREET PLACE APARTMENTS
5115 HIGHLAND RD,BATON ROUGE,70808,,POINT (-91.163133508552 30.396858986637),THE HUB APARTMENTS
3669 S COTTAGES AVE,BATON ROUGE,70816,,POINT (-91.055916396089 30.419853315073),COTTAGES AT SOUTHFORK APARTMENTS
16161 TIGER BEND RD,BATON ROUGE,70817,,POINT (-91.00513498858 30.390812518248),BANBURY APARTMENTS
"3002 MASON AVE, BLDG 134",BATON ROUGE,70805,,POINT (-91.161119944019 30.506490597009),MONTE SANO VILLAGE APARTMENTS
9511 CREEKVIEW DR,BATON ROUGE,70836,,POINT (-91.077997489001 30.384322260544),THE BLAKE AT THE GROVE APARTMENTS
10844 KINGFISHER AVE,BATON ROUGE,70807,,POINT (-91.192812144558 30.542230099081),10844 KINGFISHER AVE APARTMENT
8939 JEFFERSON HWY,BATON ROUGE,70809,,POINT (-91.087164744651 30.417456383586),THE ARTS APARTMENTS AT JEFFERSON HEIGHTS
10202 PERKINS ROWE,BATON ROUGE,70810,,POINT (-91.092331958437 30.378328260413),TERRACES AT PERKINS ROWE APARTMENTS
930 N 7TH ST,BATON ROUGE,70802,,POINT (-91.18350206543 30.456309674817),ARSENAL PARK APARTMENTS
3522 MARIE DR,BATON ROUGE,70806,,POINT (-91.153218209924 30.440190071431),THE VILLAS APARTMENTS
